id,sequence,code,name,report_name,internal_type,l10n_do_ncf_type,doc_code_prefix,country_id/id,is_vat_required,active
ncf_fiscal_client,10,B,Fiscal Credit,Factura de Crédito Fiscal,invoice,01,B01,base.do,TRUE,TRUE
ncf_consumer_supplier,30,B,Consumer,Factura de Consumo,invoice,02,B02,base.do,FALSE,TRUE
ncf_debit_note_client,40,B,Debit Note,Nota de Débito,debit_note,03,B03,base.do,TRUE,TRUE
ncf_credit_note_client,60,B,Credit Note,Nota de Crédito,credit_note,04,B04,base.do,FALSE,TRUE
ncf_informal_supplier,80,B,Purchase receipt,Factura de Compra,invoice,11,B11,base.do,TRUE,TRUE
ncf_unique_client,90,B,Single Income,Factura de Único Ingreso,invoice,12,B12,base.do,FALSE,TRUE
ncf_minor_supplier,100,B,Minor Expense,Gasto Menor,invoice,13,B13,base.do,FALSE,TRUE
ncf_special_client,110,B,Special Regime,Factura de Régimen Especial,invoice,14,B14,base.do,TRUE,TRUE
ncf_gov_client,120,B,Government Invoice,Factura Gubernamental,invoice,15,B15,base.do,TRUE,TRUE
ncf_export_client,130,B,Export,Factura de Exportación,invoice,16,B16,base.do,TRUE,TRUE
ncf_exterior_supplier,140,B,Foreign Payment,Factura de Pago al Exterior,invoice,17,B17,base.do,FALSE,TRUE
non_fiscal_import_supplier,150,N,Import,Factura de Importación,invoice,,IMP,base.do,FALSE,FALSE
ecf_fiscal_client,160,E,Electronic Fiscal Credit,Factura de Crédito Fiscal Electrónica,invoice,31,E31,base.do,TRUE,TRUE
ecf_consumer_supplier,170,E,Electronic Consumer,Factura de Consumo Electrónica,invoice,32,E32,base.do,FALSE,TRUE
ecf_debit_note_client,180,E,Electronic Debit Note,Nota de Débito Electrónica,debit_note,33,E33,base.do,TRUE,TRUE
ecf_credit_note_client,190,E,Electronic Credit Note,Nota de Crédito Electrónica,credit_note,34,E34,base.do,TRUE,TRUE
ecf_informal_supplier,200,E,Electronic Purchase,Factura de Compra Electrónica,invoice,41,E41,base.do,TRUE,TRUE
ecf_minor_supplier,220,E,Electronic Minor Expense,Factura Gasto Menor Electrónica,invoice,43,E43,base.do,FALSE,TRUE
ecf_special_client,230,E,Electronic Special Regime,Factura de Régimen Especial Electrónica,invoice,44,E44,base.do,TRUE,TRUE
ecf_gov_client,240,E,Electronic Government Invoice,Factura Gubernamental Electrónica,invoice,45,E45,base.do,TRUE,TRUE
ecf_export_client,250,E,Electronic Export,Factura de Exportación Electrónica,invoice,46,E46,base.do,TRUE,TRUE
ecf_exterior_supplier,260,E,Factura de Pago al Exterior Electrónica,invoice,invoice,47,E47,base.do,FALSE,TRUE
